member,lead,trust,err
cliper,24,1.0,130.34359025848931
cons_aiwp,24,1.0,8.649808119309105
pangu,48,1.0,16.948701405397642
fengwu,48,1.0,16.948701405397642
gru,48,1.25,211.29215265127232
transformer,48,1.25,276.49263489432775
cliper,48,1.0,234.6544538170469
cons_aiwp,48,1.0,16.948701405397642
pangu,72,1.0,68.5881156730683
fengwu,72,1.0,116.47112117086327
gru,72,1.25,182.39968943369993
transformer,72,1.25,290.9626616566072
cliper,72,1.0,267.1692189678072
cons_aiwp,72,1.0,87.24637230100154
gru,24,1.0,112.60486292161863
transformer,24,0.8,93.08196846882119
cliper,24,0.7,74.49794460681628
gru,48,1.0,545.3747263667897
transformer,48,0.8,466.07339310711654
cliper,48,0.6,464.25262783674526
gru,24,1.0,84.66108768848106
transformer,24,1.0,137.12290474343783
cliper,24,0.5,95.57842709825648
gru,48,1.0,955.1186225222499
transformer,48,1.0,1040.448250690678
cliper,48,0.5,722.490157238078
pangu,24,1.25,45.99219485144397
fengwu,24,1.25,45.99219485144397
gru,24,0.75,109.6967824034038
transformer,24,0.75,94.26398286135019
cliper,24,1.0,146.01725641999224
cons_aiwp,24,1.0,45.99219485144397
pangu,48,1.25,96.12625443113231
fengwu,48,1.25,66.4832681608812
gru,48,0.75,351.1452728171549
transformer,48,0.75,256.312118579225
cliper,48,1.0,407.7964230301991
cons_aiwp,48,1.0,60.14158075167363
pangu,72,1.25,121.35361056013795
fengwu,72,1.25,29.39794882933892
gru,72,0.75,438.42254934991826
transformer,72,0.75,314.6398680330287
cliper,72,1.0,464.3165591710402
cons_aiwp,72,1.0,48.520013186211365
gru,24,1.0,532.7515133430181
transformer,24,1.0,595.5133743816044
cliper,24,0.5,566.8313571996084
gru,48,1.0,1400.1655906759618
transformer,48,1.0,1521.7423507761155
cliper,48,0.5,1397.1702157100513
pangu,24,1.0,61.15720965450739
fengwu,24,1.0,42.81090487848992
gru,24,1.0,117.0744335216224
transformer,24,1.0,141.99519497571657
cliper,24,0.5,206.8840301447966
cons_aiwp,24,1.0,48.742777609321614
pangu,48,1.0,17.509776732931694
fengwu,48,1.0,24.02864022955225
gru,48,1.0,33.09942433847714
transformer,48,1.0,117.81228309710605
cliper,48,0.5,356.5443671786858
cons_aiwp,48,1.0,9.152837215278321
pangu,72,1.0,61.38412443249572
fengwu,72,1.0,117.38102897833762
gru,72,1.0,106.84667353970755
transformer,72,1.0,201.54198239440657
cliper,72,0.5,437.29814240100274
cons_aiwp,72,1.0,77.41139937697223
pangu,24,1.0,94.66499017617768
fengwu,24,1.0,88.73229341347759
gru,24,0.5,178.46377371130566
transformer,24,0.5,184.1856328413465
cliper,24,0.5,185.05400717154984
cons_aiwp,24,1.0,87.21482952950664
pangu,48,1.0,173.6303704089596
fengwu,48,1.0,146.0773973623871
gru,48,0.5,320.8075434724178
transformer,48,0.5,372.52767153683993
cliper,48,0.5,275.86003115121764
cons_aiwp,48,1.0,159.29216938869567
pangu,72,1.0,201.42913288622378
fengwu,72,1.0,94.68707139182399
gru,72,0.5,591.6807070711699
transformer,72,0.5,692.1440151082185
cliper,72,0.5,295.59798065304375
cons_aiwp,72,1.0,144.9882269012211
pangu,24,1.0,24.664934961425978
fengwu,24,1.0,24.664934961425978
gru,24,0.5,67.48182558034019
transformer,24,0.5,72.57995803453703
cliper,24,0.5,102.6533145048873
cons_aiwp,24,1.0,24.664934961425978
pangu,48,1.0,188.89329183293805
fengwu,48,1.0,127.80995074995558
gru,48,0.5,196.73417504789856
transformer,48,0.5,204.06794614435552
cliper,48,0.5,332.28555003328074
cons_aiwp,48,1.0,158.14282246719043
pangu,72,1.0,45.691849834894434
fengwu,72,1.0,63.846410546420074
gru,72,0.5,323.34142210765174
transformer,72,0.5,378.5204911949407
cliper,72,0.5,297.29876941388375
cons_aiwp,72,1.0,40.263269299120985
gru,24,1.0,117.08497245014435
transformer,24,1.0,128.22963955024017
cliper,24,0.5,78.90401050294975
gru,48,1.0,325.03266646502885
transformer,48,1.0,318.7404689793838
cliper,48,0.5,384.7104590299626
gru,72,1.0,492.3875925329535
transformer,72,1.0,454.2335636668626
cliper,72,0.5,697.7214969749992
gru,24,1.0,238.50654064359645
transformer,24,1.0,235.54576899290043
cliper,24,0.75,296.06603359789034
gru,48,1.0,497.81892253462047
transformer,48,1.0,505.08559762659775
cliper,48,0.75,642.1790831162145
gru,72,1.0,816.0128801725851
transformer,72,1.0,815.6556771032327
cliper,72,0.75,981.6201984690712
gru,24,1.0,74.81356903579847
transformer,24,1.0,72.3896833761826
cliper,24,1.0,69.98695077731263
gru,48,1.0,171.45190899052042
transformer,48,1.0,178.90268818790148
cliper,48,1.0,238.37867520605013
gru,72,1.0,423.87477115939674
transformer,72,1.0,427.450910657128
cliper,72,1.0,596.7032603503066
gru,24,1.0,80.2585042053573
transformer,24,1.0,64.21534994897092
cliper,24,1.0,72.0379140845603
gru,48,1.0,444.26951246960317
transformer,48,1.0,387.1752964107023
cliper,48,1.0,360.30772008435645
gru,24,1.0,79.03734680104647
transformer,24,1.0,58.255081174294475
cliper,24,1.0,196.0671629990553
gru,48,1.0,362.5669807617701
transformer,48,1.0,382.4554684367954
cliper,48,1.0,655.8113338152203
gru,72,1.0,628.3987127008573
transformer,72,1.0,716.2500501102004
cliper,72,1.0,1072.740298618029
gru,24,1.0,64.6768299518034
transformer,24,1.0,67.26701802089671
cliper,24,1.0,151.51861448192372
gru,48,1.0,91.17524508582024
transformer,48,1.0,86.24825931034118
cliper,48,0.8,327.56922794948395
gru,72,1.0,145.16674031005527
transformer,72,1.0,154.69567213597443
cliper,72,0.7,394.74757578516943
gru,24,1.0,151.78835928644236
transformer,24,1.0,144.36547721166897
cliper,24,0.75,205.20975911745393
gru,48,1.0,604.8260835187758
transformer,48,1.0,580.8227729400074
cliper,48,0.75,730.2173578753934
gru,24,0.8,194.83067077590724
transformer,24,0.8,198.75357062305312
cliper,24,1.0,170.25638606946484
gru,48,0.8,164.08600500293375
transformer,48,0.8,156.9988780135041
cliper,48,1.0,108.43666180658998
gru,72,0.8,93.93273729809178
transformer,72,0.8,282.55945950941657
cliper,72,1.0,256.0447418654317
gru,24,1.0,181.17570890544874
transformer,24,1.0,184.78988839146433
cliper,24,1.0,322.46798252269053
gru,48,1.0,493.8367443148838
transformer,48,1.0,537.4909222639991
cliper,48,1.2,839.0212513540405
gru,72,1.0,978.2755597086293
transformer,72,1.0,1069.6804413125783
cliper,72,1.5,1448.8604976786844
gru,24,1.0,130.99978864512585
transformer,24,1.0,136.2848466384736
cliper,24,0.8,151.9329316156296
gru,48,1.0,466.7995071101727
transformer,48,1.0,465.4197178389728
cliper,48,1.0,521.5704913911281
gru,72,1.0,567.0914754078381
transformer,72,1.0,522.8350092004947
cliper,72,1.0,629.5383538423546
gru,24,1.0,358.4498480695254
transformer,24,1.0,247.91684840086552
cliper,24,1.0,294.66244496631913
gru,48,1.0,793.613991094797
transformer,48,1.0,643.1069110386069
cliper,48,0.75,776.5752623541104
gru,72,1.0,1227.42053522033
transformer,72,1.0,1077.4167098264263
cliper,72,0.75,1255.1304741987585
gru,24,1.0,198.2276803256203
transformer,24,1.0,226.15213644995276
cliper,24,0.5,301.8274140781076
pangu,24,1.0,21.929664800164307
fengwu,24,1.0,43.2573675659554
gru,24,0.5,366.78185762090925
transformer,24,0.5,298.81453069021524
cliper,24,1.0,300.4449544592456
cons_aiwp,24,1.0,30.909004094923958
pangu,24,1.0,46.55869590597666
fengwu,24,1.0,11.119492664455889
gru,24,0.5,143.92873471162042
transformer,24,0.5,123.15559866795483
cliper,24,0.5,127.55841400379337
cons_aiwp,24,1.0,28.362087982131168
pangu,48,1.0,23.02633306551271
fengwu,48,1.0,72.58612268057948
gru,48,0.5,211.96019430807775
transformer,48,0.5,184.67356047844046
cliper,48,0.5,361.33844578322015
cons_aiwp,48,1.0,45.44451454790519
gru,24,1.25,102.36065222562715
transformer,24,1.25,65.96122523894621
cliper,24,0.75,34.49573823048934
gru,48,1.25,114.84733323911377
transformer,48,1.25,184.5119398517422
cliper,48,0.75,255.38250115707723
gru,72,1.25,175.74424903361233
transformer,72,1.25,373.80739749161836
cliper,72,0.75,482.1275339667736
gru,24,1.0,75.19229401599317
transformer,24,1.0,70.51295519154466
cliper,24,0.75,150.43050312106962
gru,48,1.0,255.21640388905752
transformer,48,1.0,249.3057711202389
cliper,48,0.75,442.2920707100854
gru,72,1.0,478.79284042659157
transformer,72,1.0,463.7244215264358
cliper,72,0.75,715.0894111760097
pangu,24,1.2,12.208754133905435
fengwu,24,1.2,43.82200708869262
gru,24,0.75,18.90313752957487
transformer,24,0.75,48.71484714161215
cliper,24,0.5,119.00193120093026
cons_aiwp,24,1.0,25.756944178049885
pangu,24,1.25,67.71598479010785
fengwu,24,0.75,111.55525395375075
gru,24,0.5,156.64094121449145
transformer,24,0.5,135.91397584180612
cliper,24,0.75,75.2187995803599
cons_aiwp,24,1.25,82.63807593216373
pangu,48,1.25,78.31931542299661
gru,48,0.5,273.31859462001455
transformer,48,0.5,212.1621069539232
cons_aiwp,48,1.25,78.31931542299661
pangu,72,1.25,124.94528487003346
gru,72,0.5,447.72898485476463
transformer,72,0.5,275.7630187892542
cons_aiwp,72,1.25,124.94528487003346
pangu,24,1.0,51.45768081496891
fengwu,24,1.0,1.4442550068785033e-12
gru,24,0.5,164.14703741589153
transformer,24,0.5,184.60250202776695
cliper,24,0.5,231.3448860809472
cons_aiwp,24,1.0,25.72884918641248
pangu,48,1.0,126.87159541198847
fengwu,48,1.0,36.03262448992869
gru,48,0.5,265.14175037073625
transformer,48,0.5,185.85821763810725
cliper,48,0.5,564.1195405178394
cons_aiwp,48,1.0,74.6160722330399
gru,24,1.0,209.22684429647512
transformer,24,1.0,207.89473097711618
cliper,24,1.0,306.0969995700414
gru,48,1.0,721.9983925795657
transformer,48,1.0,714.9830738960068
cliper,48,1.0,876.4450260429692
gru,72,1.0,1024.255929812842
transformer,72,1.0,1022.2445255758835
cliper,72,1.0,1156.786185442408
gru,24,1.1,70.51696754483896
transformer,24,1.0,87.34847229467672
cliper,24,1.0,61.41906498032007
gru,48,1.1,296.94723395541394
transformer,48,1.0,309.9849993750486
cliper,48,1.0,269.074592810318
gru,72,1.1,489.40659582899434
transformer,72,1.0,488.8576157097439
cliper,72,1.0,456.36211019127376
gru,24,1.2,130.55194263468675
transformer,24,1.2,141.73872195981463
cliper,24,0.7,115.06887205868266
gru,48,1.2,580.1932532783486
transformer,48,1.2,582.5285295408287
cliper,48,0.7,399.3439588388311
gru,72,1.2,1051.0997086942962
transformer,72,1.2,1042.9330856809768
cliper,72,0.7,701.7132783977979
gru,24,1.0,125.47034710940379
transformer,24,1.0,210.47821238333947
cliper,24,1.0,263.21640809903414
gru,24,1.1,221.02156632827118
transformer,24,1.1,250.39634972950094
cliper,24,0.7,149.79188401261715
gru,48,1.1,531.8265578293638
transformer,48,1.1,581.1440230754253
cliper,48,0.7,347.6998245341018
gru,72,1.1,850.1363107692694
transformer,72,1.1,920.239888456009
cliper,72,0.7,547.8864733438917
gru,24,1.0,299.9459204013185
transformer,24,1.0,320.2241007906141
cliper,24,1.2,317.6072916886819
gru,48,1.0,448.5110364895642
transformer,48,1.0,493.7833853329873
cliper,48,1.2,447.4908225854139
gru,72,1.0,659.1785414369051
transformer,72,1.0,728.9281701200954
cliper,72,1.2,631.8716079133566
gru,24,1.0,108.10642331456037
transformer,24,1.0,113.42363250101921
cliper,24,0.5,52.63198841342561
gru,48,1.0,125.40426102691404
transformer,48,1.0,168.4639050517924
cliper,48,0.5,102.71937543722355
gru,72,1.0,158.61262498967744
transformer,72,1.0,250.85930377742343
cliper,72,0.5,491.91578253107275
pangu,24,1.0,44.62005434753197
fengwu,24,1.0,44.62005434753197
gru,24,0.5,51.00061235501207
transformer,24,1.0,28.119067082372407
cliper,24,0.5,195.51033449102556
cons_aiwp,24,1.0,44.62005434753197
pangu,48,1.0,207.14123625368833
fengwu,48,1.0,202.3280984778889
gru,48,0.5,315.09086894538285
transformer,48,1.0,240.8176688059338
cliper,48,0.5,550.1163462384583
cons_aiwp,48,1.0,204.37385618527236
pangu,72,1.0,349.2065779730383
fengwu,72,1.0,402.75402117184996
gru,72,0.5,664.4329750263355
transformer,72,1.0,511.86933294653903
cliper,72,0.5,889.8535045920522
cons_aiwp,72,1.0,374.27707242074024
pangu,24,1.0,49.52810427605616
fengwu,24,1.0,74.62261495176693
gru,24,0.75,63.83234638663567
transformer,24,0.75,70.68259541006596
cliper,24,0.5,209.8550765713706
cons_aiwp,24,1.0,48.60896934393022
pangu,48,1.0,138.9459096625805
fengwu,48,1.0,371.0232115667107
gru,48,0.75,296.1347698176354
transformer,48,0.75,262.21097345834835
cliper,48,0.5,638.410327420675
cons_aiwp,48,1.0,255.11099961446888
pangu,72,1.0,120.96538349578368
fengwu,72,1.0,207.62549290149468
gru,72,0.75,384.09967944860244
transformer,72,0.75,298.3338466849726
cliper,72,0.5,767.4613781876445
cons_aiwp,72,1.0,164.42492932145356
pangu,24,1.0,42.081398556401155
fengwu,24,1.0,70.2918906937019
gru,24,0.5,131.79961501590856
transformer,24,0.5,146.600125967704
cliper,24,0.5,223.48913091140938
cons_aiwp,24,1.0,49.771190068185504
pangu,48,1.0,33.358477993367664
fengwu,48,1.0,34.675792370905214
gru,48,0.5,358.88471098290967
transformer,48,0.5,385.4706278336935
cliper,48,0.5,517.2510028188555
cons_aiwp,48,1.0,13.92051248790172
pangu,72,1.0,100.25174703289555
fengwu,72,1.0,5.559746332227944
gru,72,0.5,496.63850179321395
transformer,72,0.5,542.0817047290307
cliper,72,0.5,734.7069214573986
cons_aiwp,72,1.0,52.29678711892342
pangu,24,1.0,126.39235330528733
fengwu,24,1.0,42.91177625114151
gru,24,0.5,176.32714889931788
transformer,24,0.5,148.48897899447502
cliper,24,0.5,255.25898832207983
cons_aiwp,24,1.0,83.83515342864727
pangu,48,1.0,190.89661209343868
fengwu,48,1.0,91.48140723835763
gru,48,0.5,293.4822542460025
transformer,48,0.5,220.93170636752373
cliper,48,0.5,493.94287349880733
cons_aiwp,48,1.0,133.40400857757587
pangu,72,1.0,166.8702567596814
fengwu,72,1.0,32.46844776373632
gru,72,0.5,566.8930324454976
transformer,72,0.5,467.83443905091815
cliper,72,0.5,929.6498392288571
cons_aiwp,72,1.0,98.43773814019268
pangu,24,1.0,141.27240959713484
fengwu,24,1.0,28.304592255998664
gru,24,0.5,132.3190302494932
transformer,24,0.5,100.88832485631053
cliper,24,0.5,107.85186016227138
cons_aiwp,24,1.0,76.60783444272936
pangu,48,1.0,134.95209483437762
fengwu,48,1.0,112.55179021145355
gru,48,0.5,541.667866912735
transformer,48,0.5,454.95462160239066
cliper,48,0.5,481.81471495026346
cons_aiwp,48,1.0,123.98975004324964
pangu,72,1.0,146.1680652221513
fengwu,72,1.0,57.67082250578009
gru,72,0.5,952.2099283194109
transformer,72,0.5,818.1551713800771
cliper,72,0.5,912.4635934699829
cons_aiwp,72,1.0,95.44882863493508
pangu,24,1.0,50.323088706094154
fengwu,24,1.0,22.87307235812598
gru,24,0.5,163.9678431346929
transformer,24,0.5,144.21515863765248
cliper,24,0.5,340.79949697278556
cons_aiwp,24,1.0,37.08229829627827
pangu,48,1.0,167.47016539326913
fengwu,48,1.0,111.94655822223653
gru,48,0.5,333.71029832784063
transformer,48,0.5,343.5713334488406
cliper,48,0.5,748.8971151145792
cons_aiwp,48,1.0,139.1983315205541
pangu,72,1.0,242.942142758587
fengwu,72,1.0,144.58065488399828
gru,72,0.5,607.6682429522057
transformer,72,0.5,654.506322975505
cliper,72,0.5,1342.2324435995442
cons_aiwp,72,1.0,190.78437846776578
pangu,24,1.0,54.77937703576952
fengwu,24,1.0,33.89354089495226
gru,24,0.5,220.90510597763273
transformer,24,0.5,223.02089937809657
cliper,24,1.0,227.1620942173473
cons_aiwp,24,1.0,36.08341934773946
pangu,48,1.0,24.646796165701463
fengwu,48,1.0,35.01402626046117
gru,48,0.5,426.04894011002176
transformer,48,0.5,416.7484962135307
cliper,48,1.0,469.263586889076
cons_aiwp,48,1.0,11.998105406279896
pangu,72,1.0,186.11571517335472
fengwu,72,1.0,106.161542285007
gru,72,0.5,502.7674063741886
transformer,72,0.5,480.93864847808317
cliper,72,1.0,560.9722201462556
cons_aiwp,72,1.0,127.96246877811159
pangu,24,1.0,52.58925440649362
fengwu,24,1.0,27.508444962346946
gru,24,0.5,339.66718521503844
transformer,24,0.5,380.237215948816
cliper,24,1.0,321.096827615885
cons_aiwp,24,1.0,39.091059871064694
pangu,48,1.0,96.45873105034353
fengwu,48,1.0,42.11165859400278
gru,48,0.5,418.8883157712759
transformer,48,0.5,493.24680921625696
cliper,48,1.0,468.0306263635881
cons_aiwp,48,1.0,67.60406145071694
pangu,72,1.0,143.39319011902862
fengwu,72,1.0,39.28498993123879
gru,72,0.5,694.4029565045472
transformer,72,0.5,771.1583850551989
cliper,72,1.0,819.7217879670675
cons_aiwp,72,1.0,87.076651992791
pangu,24,1.0,45.09078961697272
fengwu,24,1.0,45.09078961697272
gru,24,0.5,114.71106775803646
transformer,24,1.0,163.02163520595968
cliper,24,0.5,166.722552659157
cons_aiwp,24,1.0,45.09078961697272
pangu,24,1.0,44.477970657823555
fengwu,24,1.0,11.119492664455889
gru,24,0.5,94.2884762275335
transformer,24,0.5,22.36527955529968
cliper,24,1.0,133.8775545335933
cons_aiwp,24,1.0,16.679238996683832
pangu,48,1.0,138.46858965205723
fengwu,48,1.0,166.08112115193794
gru,48,0.5,388.64694701138706
transformer,48,0.5,251.29700564125136
cliper,48,1.0,416.84817084287334
cons_aiwp,48,1.0,145.33695238372937
pangu,72,1.0,200.35833963596943
fengwu,72,1.0,135.4181995650974
gru,72,0.5,840.550320719925
transformer,72,0.5,680.1621107430941
cliper,72,1.0,909.8205994620223
cons_aiwp,72,1.0,164.58338810155334
pangu,24,1.0,61.394204185490366
fengwu,24,1.0,85.17351978606132
gru,24,0.5,268.1550653287217
transformer,24,0.5,265.61996871323834
cliper,24,0.5,246.78455031471418
cons_aiwp,24,1.0,69.17939495888466
pangu,48,1.0,156.68840770672224
fengwu,48,1.0,158.45948326755382
gru,48,0.5,341.53422441839314
transformer,48,0.5,339.60243652144135
cliper,48,0.5,248.36703896005682
cons_aiwp,48,1.0,155.1054980098415
pangu,72,1.0,93.14039562498382
fengwu,72,1.0,104.96712187032979
gru,72,0.5,283.1863602716086
transformer,72,0.5,286.7697944360807
cliper,72,0.5,127.39679052439054
cons_aiwp,72,1.0,89.51855796796599
pangu,24,1.0,54.00414541882234
fengwu,24,1.0,121.5790762931536
gru,24,0.5,125.37912751315608
transformer,24,0.5,152.58768165048298
cliper,24,1.0,201.24518464068615
cons_aiwp,24,1.0,85.68394603562375
pangu,48,1.0,93.64685749226999
fengwu,48,1.0,55.85741387671582
gru,48,0.5,400.6398094912413
transformer,48,0.5,448.092304433692
cliper,48,1.0,617.0779831185183
cons_aiwp,48,1.0,65.40490708608442
pangu,72,1.0,133.8028241099135
fengwu,72,1.0,94.01747640552836
gru,72,0.5,448.3251638064332
transformer,72,0.5,503.4398535135577
cliper,72,1.0,798.3155236779527
cons_aiwp,72,1.0,99.9443580943112
pangu,24,1.0,101.51036623406108
fengwu,24,1.0,82.18092484223607
gru,24,0.5,214.2463840521604
transformer,24,0.5,223.97103526142152
cliper,24,1.0,137.2633673158664
cons_aiwp,24,1.0,90.91281488624394
pangu,48,1.0,105.41664738129816
fengwu,48,1.0,16.09191803716954
gru,48,0.5,536.4908132436434
transformer,48,0.5,567.5531956953461
cliper,48,1.0,306.34390707004496
cons_aiwp,48,1.0,47.98497125157432
pangu,72,1.0,150.1131509701545
fengwu,72,1.0,240.38838526000723
gru,72,0.5,664.0300581038474
transformer,72,0.5,699.8448437623906
cliper,72,1.0,281.12293733637324
cons_aiwp,72,1.0,145.5312040339892
pangu,24,1.0,74.8474988741717
fengwu,24,1.0,48.3043602844937
gru,24,0.75,212.23033686617842
transformer,24,0.75,178.07354326906759
cliper,24,1.0,243.83957632795398
cons_aiwp,24,1.0,62.094580593436895
pangu,48,1.0,50.81124677409395
fengwu,48,1.0,12.33365021303085
gru,48,0.75,634.0460604947413
transformer,48,0.75,554.4863792295855
cliper,48,1.0,733.8965332331973
cons_aiwp,48,1.0,21.59717849934485
pangu,72,1.0,37.6257415543725
fengwu,72,1.0,76.78039799599274
gru,72,0.75,982.6322331322409
transformer,72,0.75,860.9475075881936
cliper,72,1.0,1165.9992207485172
cons_aiwp,72,1.0,24.735393589586806
pangu,24,1.0,130.01388920273158
fengwu,24,1.0,132.88809241228685
gru,24,0.5,107.12986777084032
transformer,24,0.5,120.97184684515962
cliper,24,0.25,269.99891264209316
cons_aiwp,24,1.0,130.66544717086464
pangu,48,1.0,27.508444962346946
fengwu,48,1.0,43.83822792439401
gru,48,0.5,530.2193976899673
transformer,48,0.5,551.2853876242618
cliper,48,0.25,907.687855217032
cons_aiwp,48,1.0,24.72003357262399
pangu,72,1.0,19.56312594679017
fengwu,72,1.0,68.62654993758731
gru,72,0.5,700.8132789593942
transformer,72,0.5,720.8153302581519
cliper,72,0.25,1260.1157049065152
cons_aiwp,72,1.0,42.11165859400278
pangu,24,1.0,15.45272070765485
fengwu,24,1.0,15.45272070765485
gru,24,0.5,263.69260841481616
transformer,24,0.5,233.3466180362115
cliper,24,0.25,374.9742828031841
cons_aiwp,24,1.0,15.45272070765485
pangu,48,1.0,167.71293803978074
fengwu,48,1.0,39.28498993123879
gru,48,0.5,273.39982955983896
transformer,48,0.5,208.02727303344233
cliper,48,0.25,393.24759560122493
cons_aiwp,48,1.0,100.5243228197599
pangu,72,1.0,160.91462962706888
fengwu,72,1.0,52.504695830743515
gru,72,0.5,227.08628958087147
transformer,72,0.5,197.11707697937857
cliper,72,0.25,250.01320640282523
cons_aiwp,72,1.0,98.42865867547897
pangu,24,1.2,82.64982749098544
fengwu,24,1.2,57.53921962925997
gru,24,0.5,85.91015154099063
transformer,24,0.5,70.74709001589643
cliper,24,0.5,137.88170903925308
cons_aiwp,24,1.0,69.4603762154646
pangu,48,1.2,73.9178008788993
fengwu,48,1.2,15.794073476973312
gru,48,0.5,89.9370735700927
transformer,48,0.5,63.3898238950255
cliper,48,0.5,219.35414936977185
cons_aiwp,48,1.0,44.54442392726431
pangu,72,1.2,130.51740101068953
fengwu,72,1.2,100.07543398010264
gru,72,0.5,153.73672220547007
transformer,72,0.5,153.1253882334051
cliper,72,0.5,377.28282972662254
cons_aiwp,72,1.0,115.3348191070848
pangu,24,1.0,51.15185352108001
fengwu,24,1.0,24.646796165701463
gru,24,0.5,37.46349652057886
transformer,24,0.5,64.28483289836608
cliper,24,0.25,61.38708033850149
cons_aiwp,24,1.0,38.20060480416281
